CensusPlaceCode,ST,STName,County,PlaceNameLong,PlaceNameShort,CensusPlaceName,,,,,,,,,
1901599990,IA,Iowa,Boone,Balance of Boone County,Unincorporated Boone County,Balance of Boone County,,,,,,,,,
1901700000,IA,Iowa,Bremer,Bremer County,Bremer County,Bremer County,,,,,,,,,
1901720035,IA,Iowa,Bremer,City of Denver,Denver,Denver city,,,,,,,,,
1901729010,IA,Iowa,Bremer,City of Frederika,Frederika,Frederika city,,,,,,,,,
1901739405,IA,Iowa,Bremer,City of Janesville - Bremer County Portion,Janesville [Bremer Co],Janesville city (pt.),,,,,,,,,
1901763210,IA,Iowa,Bremer,City of Plainfield,Plainfield,Plainfield city,,,,,,,,,
1901765910,IA,Iowa,Bremer,City of Readlyn,Readlyn,Readlyn city,,,,,,,,,
1901776260,IA,Iowa,Bremer,City of Sumner - Bremer County Portion,Sumner [Bremer Co],Sumner city (pt.),,,,,,,,,
1901778915,IA,Iowa,Bremer,City of Tripoli,Tripoli,Tripoli city,,,,,,,,,
1901782875,IA,Iowa,Bremer,City of Waverly,Waverly,Waverly city,,,,,,,,,
1901799990,IA,Iowa,Bremer,Balance of Bremer County,Unincorporated Bremer County,Balance of Bremer County,,,,,,,,,
1901900000,IA,Iowa,Buchanan,Buchanan County,Buchanan County,Buchanan County,,,,,,,,,
1901903835,IA,Iowa,Buchanan,City of Aurora,Aurora,Aurora city,,,,,,,,,
1901908155,IA,Iowa,Buchanan,City of Brandon,Brandon,Brandon city,,,,,,,,,
1901926355,IA,Iowa,Buchanan,City of Fairbank - Buchanan County Portion,Fairbank [Buchanan Co],Fairbank city (pt.),,,,,,,,,
1901935580,IA,Iowa,Buchanan,City of Hazleton,Hazleton,Hazleton city,,,,,,,,,
1901938100,IA,Iowa,Buchanan,City of Independence,Independence,Independence city,,,,,,,,,
1901939585,IA,Iowa,Buchanan,City of Jesup - Buchanan County Portion,Jesup [Buchanan Co],Jesup city (pt.),,,,,,,,,
1901943005,IA,Iowa,Buchanan,City of Lamont,Lamont,Lamont city,,,,,,,,,
1901965235,IA,Iowa,Buchanan,City of Quasqueton,Quasqueton,Quasqueton city,,,,,,,,,
1901969060,IA,Iowa,Buchanan,City of Rowley,Rowley,Rowley city,,,,,,,,,
1901974955,IA,Iowa,Buchanan,City of Stanley - Buchanan County Portion,Stanley [Buchanan Co],Stanley city (pt.),,,,,,,,,
1901986565,IA,Iowa,Buchanan,City of Winthrop,Winthrop,Winthrop city,,,,,,,,,
1901999990,IA,Iowa,Buchanan,Balance of Buchanan County,Unincorporated Buchanan County,Balance of Buchanan County,,,,,,,,,
1902100000,IA,Iowa,Buena Vista,Buena Vista County,Buena Vista County,Buena Vista County,,,,,,,,,
1902100865,IA,Iowa,Buena Vista,City of Albert City,Albert City,Albert City city,,,,,,,,,
1902101495,IA,Iowa,Buena Vista,City of Alta,Alta,Alta city,,,,,,,,,
1902142645,IA,Iowa,Buena Vista,City of Lakeside,Lakeside,Lakeside city,,,,,,,,,
1902145480,IA,Iowa,Buena Vista,City of Linn Grove,Linn Grove,Linn Grove city,,,,,,,,,
1902149260,IA,Iowa,Buena Vista,City of Marathon,Marathon,Marathon city,,,,,,,,,
1902155965,IA,Iowa,Buena Vista,City of Newell,Newell,Newell city,,,,,,,,,
1902166360,IA,Iowa,Buena Vista,City of Rembrandt,Rembrandt,Rembrandt city,,,,,,,,,
1902173425,IA,Iowa,Buena Vista,City of Sioux Rapids,Sioux Rapids,Sioux Rapids city,,,,,,,,,
1902175630,IA,Iowa,Buena Vista,City of Storm Lake,Storm Lake,Storm Lake city,,,,,,,,,
1902179095,IA,Iowa,Buena Vista,City of Truesdale,Truesdale,Truesdale city,,,,,,,,,
1902199990,IA,Iowa,Buena Vista,Balance of Buena Vista County,Unincorporated Buena Vista County,Balance of Buena Vista County,,,,,,,,,
1902300000,IA,Iowa,Butler,Butler County,Butler County,Butler County,,,,,,,,,
1902301315,IA,Iowa,Butler,City of Allison,Allison,Allison city,,,,,,,,,
1902302395,IA,Iowa,Butler,City of Aplington,Aplington,Aplington city,,,,,,,,,
1902302620,IA,Iowa,Butler,City of Aredale,Aredale,Aredale city,,,,,,,,,
1902308560,IA,Iowa,Butler,City of Bristow,Bristow,Bristow city,,,,,,,,,
1902313755,IA,Iowa,Butler,City of Clarksville,Clarksville,Clarksville city,,,,,,,,,
1902322620,IA,Iowa,Butler,City of Dumont,Dumont,Dumont city,,,,,,,,,
1902332745,IA,Iowa,Butler,City of Greene - Butler County Portion,Greene [Butler Co],Greene city (pt.),,,,,,,,,
1902356145,IA,Iowa,Butler,City of New Hartford,New Hartford,New Hartford city,,,,,,,,,
1902361590,IA,Iowa,Butler,City of Parkersburg,Parkersburg,Parkersburg city,,,,,,,,,
1902372435,IA,Iowa,Butler,City of Shell Rock,Shell Rock,Shell Rock city,,,,,,,,,
1902399990,IA,Iowa,Butler,Balance of Butler County,Unincorporated Butler County,Balance of Butler County,,,,,,,,,
1902500000,IA,Iowa,Calhoun,Calhoun County,Calhoun County,Calhoun County,,,,,,,,,
1902526940,IA,Iowa,Calhoun,City of Farnhamville - Calhoun County Portion,Farnhamville [Calhoun Co],Farnhamville city (pt.),,,,,,,,,
1902539900,IA,Iowa,Calhoun,City of Jolley,Jolley,Jolley city,,,,,,,,,
1902541790,IA,Iowa,Calhoun,City of Knierim,Knierim,Knierim city,,,,,,,,,
1902542465,IA,Iowa,Calhoun,City of Lake City,Lake City,Lake City city,,,,,,,,,
1902546245,IA,Iowa,Calhoun,City of Lohrville,Lohrville,Lohrville city,,,,,,,,,
1902547730,IA,Iowa,Calhoun,City of Lytton - Calhoun County Portion,Lytton [Calhoun Co],Lytton city (pt.),,,,,,,,,
1902548990,IA,Iowa,Calhoun,City of Manson,Manson,Manson city,,,,,,,,,
1902564065,IA,Iowa,Calhoun,City of Pomeroy,Pomeroy,Pomeroy city,,,,,,,,,
1902567125,IA,Iowa,Calhoun,City of Rinard,Rinard,Rinard city,,,,,,,,,
1902568295,IA,Iowa,Calhoun,City of Rockwell City,Rockwell City,Rockwell City city,,,,,,,,,
1902573920,IA,Iowa,Calhoun,City of Somers,Somers,Somers city,,,,,,,,,
1902587375,IA,Iowa,Calhoun,City of Yetter,Yetter,Yetter city,,,,,,,,,
1902599990,IA,Iowa,Calhoun,Balance of Calhoun County,Unincorporated Calhoun County,Balance of Calhoun County,,,,,,,,,
1902700000,IA,Iowa,Carroll,Carroll County,Carroll County,Carroll County,,,,,,,,,
1902702485,IA,Iowa,Carroll,City of Arcadia,Arcadia,Arcadia city,,,,,,,,,
1902708290,IA,Iowa,Carroll,City of Breda,Breda,Breda city,,,,,,,,,
1902711080,IA,Iowa,Carroll,City of Carroll,Carroll,Carroll city,,,,,,,,,
1902716050,IA,Iowa,Carroll,City of Coon Rapids - Carroll County Portion,Coon Rapids [Carroll Co],Coon Rapids city (pt.),,,,,,,,,
1902719450,IA,Iowa,Carroll,City of Dedham,Dedham,Dedham city,,,,,,,,,
1902731395,IA,Iowa,Carroll,City of Glidden,Glidden,Glidden city,,,,,,,,,
1902733645,IA,Iowa,Carroll,City of Halbur,Halbur,Halbur city,,,,,,,,,
1902743140,IA,Iowa,Carroll,City of Lanesboro,Lanesboro,Lanesboro city,,,,,,,,,
1902745030,IA,Iowa,Carroll,City of Lidderdale,Lidderdale,Lidderdale city,,,,,,,,,
1902748945,IA,Iowa,Carroll,City of Manning,Manning,Manning city,,,,,,,,,
1902765505,IA,Iowa,Carroll,City of Ralston - Carroll County Portion,Ralston [Carroll Co],Ralston city (pt.),,,,,,,,,
1902777340,IA,Iowa,Carroll,City of Templeton,Templeton,Templeton city,,,,,,,,,
